sample_id,price
100179,10.52729
245611,11.580261
146263,18.15084
95658,5.646214
36806,22.309954
148239,3.624314
92659,7.370609
3780,13.711166
196940,16.079206
20472,6.974365
121721,13.56176
127336,16.3255
20801,46.932285
30103,7.251298
68691,21.845955
230703,32.961253
3342,89.897497
115635,12.832738
221565,6.884043
265927,2.786364
290421,25.991207
222203,3.7829936
40595,7.6817933
157931,14.647067
41814,23.993068
250478,94.995794
130232,3.494002
155825,19.8187
42104,51.9858586
148748,25.262468
247548,11.047608
262167,19.670973
100183,14.1731
168985,23.996316
18411,59.999
111287,14.99597
156813,5.555822
194861,3.4326987
104298,9.991043
59033,6.6410985
31133,21.290986
299318,3.9673488
255038,8.885031
220578,32.484505
38995,14.508572
253068,6.684729
282143,12.378066
226531,13.9484005
233215,79.217896
33295,8.087835
198185,16.954317
238324,1.5654944
121672,29.642221
21434,15.147547
61747,19.54588
270417,13.613472
105202,9.950771
202880,10.1888
79564,12.609945
251317,31.409208
205434,21.78466
15315,10.517314
276163,11.03906
245021,34.20712
25664,32.376064
90451,5.333482
5215,8.59596
68223,25.143696
135447,29.371159
58777,33.189297
73979,25.787315
173699,10.396212
201120,10.370087
64448,9.866301
243239,25.63729
280496,8.56387
293812,14.931831
35203,3.4674969
31858,31.227442
162188,3.827439
193450,10.686407
34991,5.0360384
232133,21.826067
294874,21.983512
160416,19.191387
104466,13.5326
284624,1.5619198
19742,36.123344
87611,31.574682
227957,117.34682
68427,23.695528
204601,30.05779
107223,4.851506
237588,24.676416
1313,5.2374134
196900,2.5021102
22107,18.209732
73030,7.2197328
181909,25.948565
23045,12.892146
142744,103.251175
169122,12.607056
239815,24.425966
41952,59.19461
227911,6.529255
31484,8.551702
252567,2.1778996
225977,17.323011
48243,7.217691
201046,26.127525
161001,65.15707
292827,6.2823567
159584,16.185368
281316,15.795881
224188,6.633524
281823,13.490368
214851,20.174242
67570,21.594347
102740,16.593903
11978,30.932207
289925,20.770758
40458,4.3098474
278700,18.515848
38662,14.3348675
99886,4.797969
172816,9.041576
275563,5.49931
26172,4.319069
277062,4.4853587
82592,11.302045
266300,9.113897
202617,40.599728
234007,28.858067
78684,11.632568
42824,20.258583
128386,10.319501
252965,7.120038
277363,10.943767
54646,14.037549
149645,20.395258
206564,15.818519
29321,12.63461
193776,7.303097
60214,17.909616
133606,11.873466
95844,15.354811
75072,3.5413756
71643,19.428865
297677,6.890196
298180,15.072688
267622,3.6001434
129731,15.7469225
72776,14.410468
286221,5.1328664
93467,5.272633
173148,27.966198
143720,70.014275
52592,8.617359
225085,20.770601
213670,6.281572
142420,49.72107
1008,3.6726408
128631,52.508602
44224,14.335572
16363,26.330818
64551,20.963518
217996,7.189886
262406,3.3155003
165161,15.150767
238864,25.685015
227930,19.830767
77202,10.266398
193685,8.249969
114683,7.082995
197108,21.63241
200477,3.7365968
144035,27.742615
281994,3.9414587
63221,54.397842
269260,12.311259
284873,4.454268
94407,32.87389
243579,21.127176
51262,12.96293
115285,11.988553
247763,24.608368
298054,12.059683
275947,8.846321
33858,9.746069
189285,102.83318
62318,36.103367
93113,4.2057066
155548,4.396349
220244,36.270298
22363,6.0215244
295868,6.264502
212510,80.82246
232238,4.6307445
269310,39.683876
134611,5.9263372
154663,16.451529
248314,7.4471846
59089,31.604599
37902,14.876635
247147,28.444464
80803,18.671871
121057,8.95539
30163,6.5211096
154861,9.847712
41265,6.617681
160502,11.807278
290401,12.454338
62782,16.917568
151651,4.3121824
226249,16.272764
48224,11.033929
146944,72.18484
3438,13.167848
161259,22.63669
47173,33.089046
25800,12.044068
50001,31.544798
290756,8.113229
181986,7.70068
10843,10.169852
190551,2.745441
85154,8.232433
134653,5.0992293
229643,6.5358953
95464,4.540291
54059,15.989642
115479,8.85124
97906,18.296968
127371,15.545401
24362,6.970724
118312,8.614241
22583,9.209986
19732,55.068863
212955,7.1513124
21886,4.678
224325,23.3485
203894,1.656617
191752,10.949816
286196,49.831688
248824,12.943134
43717,24.228735
262589,7.467424
140499,17.583912
242880,17.735151
201240,8.398579
89117,5.867718
298713,10.929207
271738,7.2357883
38576,20.462809
950,10.042289
79433,9.060069
66341,14.003105
55422,9.093166
182312,1.5308181
866,16.975569
162209,3.783053
287083,21.722502
265459,3.1366408
296124,4.0311723
15509,10.238864
112466,26.503752
101382,40.97716
282568,16.505499
92557,2.0970774
283523,5.1454916
168873,16.27103
223932,8.887024
199772,11.673487
33589,16.346214
235524,19.967926
100593,15.246486
295833,3.4841223
194828,4.6102295
173679,12.272607
84443,8.484317
19827,24.89845
159217,18.403019
200101,5.302428
40815,23.445314
106079,11.071623
287913,21.064014
286246,35.396667
230574,5.0158257
73645,113.594
56580,33.616093
185057,6.44289
110193,20.19354
265456,8.99692
272119,20.222622
73684,7.912038
84917,3.9930272
254051,7.559656
213640,9.19024
5941,8.762236
192025,85.89737
295491,9.904635
14394,21.722832
219359,6.490045
292038,6.877661
236046,20.279377
219569,21.342497
251251,11.0307
193520,11.803934
153393,9.062789
112673,5.738006
66961,8.495389
59610,16.90916
187539,9.134938
196138,81.36668
27796,5.281577
192821,29.824635
217441,11.579792
106554,16.568066
203432,4.2752104
73634,122.486824
53665,3.3929257
226789,17.071491
46549,8.504985
234314,38.533535
112654,7.9173784
239127,7.0225296
93245,20.387096
207744,24.400274
17530,8.083197
221997,41.00008
45669,7.4180975
166053,9.162006
270552,18.209642
183394,22.810108
7286,28.86615
111584,11.151469
168394,26.684284
294463,6.9072046
18251,31.44778
203229,37.92105
2599,19.014318
154170,20.933056
213714,7.541571
11554,7.194366
262927,5.741961
156465,10.345382
53995,51.789997
129260,37.81301
281072,15.187093
29191,12.7213
246389,25.322233
102936,6.16205
63126,15.537721
21235,14.022316
176587,6.84868
111728,11.4883995
140389,3.9492147
224260,12.541755
95308,15.22083
149658,12.387407
97804,3.4808605
174598,8.40739
19672,35.32751
216342,4.579119
281952,6.951592
53666,41.195602
258593,18.834421
33650,30.70952
43438,6.325153
148107,25.609987
98687,23.572704
213206,3.3367908
245479,36.377876
236509,15.080672
251785,32.213375
20793,35.454197
64682,19.716234
150402,17.23371
131447,11.217796
47344,17.441113
56390,19.71678
28935,18.375978
276468,6.9084077
129644,28.315289
129059,43.34328
161246,79.77913
147844,41.977085
143756,19.330755
103131,10.767128
286238,32.852505
8708,21.47324
241039,10.006618
89737,7.9107914
147371,31.905748
68808,5.2012324
89225,14.397418
184365,8.222937
109431,11.889841
77529,31.689068
252679,19.691883
74699,8.077238
225191,8.152256
47314,8.02781
190037,23.447567
283484,2.7018661
4624,11.719016
37365,4.1712136
150520,13.025221
160793,20.149805
288758,6.207933
70721,12.932921
153130,26.903494
253230,9.51751
11371,16.596245
134200,8.756568
46636,5.9395313
255775,7.09422
134099,17.382492
132998,33.18214
245102,33.03817
106588,17.97292
40475,7.9520507
35737,8.558488
75488,3.7484303
243789,18.419292
93502,14.081279
233628,17.957954
86958,25.409369
98928,12.226824
215242,54.660515
264446,4.8526244
199345,11.750544
153369,8.984298
242403,14.0641365
195633,31.007029
253943,17.436111
210835,12.183748
203602,8.69472
24911,33.500286
82198,4.278437
222247,29.811768
192793,16.16986
104529,18.383352
31090,4.9121304
11109,2.0716007
125529,7.3577757
120658,17.455812
235470,33.70524
216872,16.226744
1366,76.54112
133729,17.02751
139689,19.13712
279258,9.312617
97282,2.029806
288383,9.398212
116389,8.342113
173568,22.96082
262785,1.8066083
92633,13.748766
219247,13.877222
254679,20.345697
68759,38.37441
114484,18.276587
77864,16.137384
264420,9.603376
68473,9.755745
284648,4.149659
33357,3.8828728
103968,25.955534
49470,11.4406805
28890,9.16075
200182,15.560167
104436,31.421013
88704,4.1572657
49343,12.317666
146051,20.441772
75411,7.9562783
81149,14.424898
290573,47.239037
151498,6.195463
291639,17.310863
56972,7.0701895
70534,19.174406
182536,8.116528
254227,3.6882021
133565,8.843439
86422,3.216347
198654,13.728634
224439,7.843333
122263,6.7472205
246957,9.428284
228792,29.29393
151419,48.24111
180019,11.323703
269000,12.979472
126116,1.4397882
72182,4.824894
50911,18.162457
22336,2.6631248
85561,26.126215
248192,9.38404
93970,6.2169127
213816,9.970932
16889,7.160274
15442,11.186051
203089,10.238691
279417,16.594908
193127,3.496086
198525,24.801167
219538,63.871284
90945,23.913694
254383,14.266943
115404,11.218606
96786,3.0902448
259493,31.698294
173435,16.874128
73281,13.5184555
199003,30.818094
238125,29.80354
230530,16.418276
27633,5.1922135
92118,7.484229
212816,13.883668
89159,4.1229734
131701,5.601534
34332,36.53086
78208,11.97154
130144,24.858349
181900,6.5489626
147260,37.614048
21298,15.940382
78630,9.55636
145463,12.104161
181331,4.074041
68026,14.286351
107328,8.54032
12930,26.763193
255057,9.177952
273075,20.9372
41615,2.6017106
87308,26.124006
5700,2.4312813
171022,18.315702
95699,11.79437
7807,25.711084
14094,9.095043
220034,147.30174
188365,8.695992
294134,5.935849
289489,8.493653
29363,6.352293
142340,24.756706
159952,5.93559
239851,34.000088
86371,24.420856
181699,5.641322
95608,2.3362682
167151,34.125065
203800,11.388709
260961,5.8833375
561,18.868961
219613,14.255994
298494,13.535182
118689,19.499956
270488,9.627788
153189,6.4716015
258769,16.714682
135071,14.7610445
269187,4.33367
66891,9.498385
237849,14.479851
213497,45.68908
96083,13.997208
209195,9.451264
258460,19.748781
102916,8.2135725
11926,4.8806615
84021,3.9848154
160011,13.25624
192787,14.005967
186032,9.759744
269038,10.918974
210521,13.946601
259077,10.938571
245588,17.779814
61349,29.712376
2440,46.91455
93741,7.855588
126159,11.206087
108584,7.8410845
138883,8.755507
100547,22.65325
114363,20.562016
19186,26.60118
58644,16.906918
143305,49.89723
248939,37.31916
155123,14.345706
260415,4.601052
58579,21.965065
261276,31.53748
178859,18.184978
157472,112.86464
6061,19.639
212250,9.060898
242470,12.624733
284155,6.8383875
